2.20e-05 & 2.09e-05 & 2.15e-05 & 2.51e-05 & 2.20e-05 & 2.23e-05 \\
3.09e-05 & 3.09e-05 & 3.11e-05 & 3.15e-05 & 3.08e-05 & 3.10e-05 \\
1.69e-05 & 1.69e-05 & 1.71e-05 & 1.90e-05 & 1.72e-05 & 1.74e-05 \\
1.45e-05 & 1.44e-05 & 1.47e-05 & 1.51e-05 & 1.44e-05 & 1.46e-05 \\
5.91e-05 & 5.89e-05 & 5.87e-05 & 6.07e-05 & 5.87e-05 & 5.92e-05 \\
1.50e-05 & 1.50e-05 & 1.48e-05 & 2.44e-05 & 1.48e-05 & 1.68e-05 \\
1.32e-05 & 1.31e-05 & 1.30e-05 & 1.39e-05 & 1.31e-05 & 1.33e-05 \\
1.06e-05 & 1.05e-05 & 1.05e-05 & 1.14e-05 & 1.06e-05 & 1.07e-05 \\
7.07e-06 & 7.06e-06 & 7.14e-06 & 7.62e-06 & 7.12e-06 & 7.20e-06 \\
8.57e-06 & 8.44e-06 & 8.54e-06 & 8.77e-06 & 8.48e-06 & 8.56e-06 \\
1.36e-05 & 1.32e-05 & 1.32e-05 & 1.39e-05 & 1.32e-05 & 1.34e-05 \\
9.00e-06 & 8.53e-06 & 8.82e-06 & 9.64e-06 & 8.86e-06 & 8.97e-06 \\
3.03e-05 & 3.00e-05 & 3.00e-05 & 3.08e-05 & 3.00e-05 & 3.02e-05 \\
1.60e-05 & 1.58e-05 & 1.58e-05 & 1.66e-05 & 1.57e-05 & 1.60e-05 \\
6.01e-06 & 6.00e-06 & 6.00e-06 & 7.05e-06 & 6.16e-06 & 6.24e-06 \\
4.34e-06 & 4.34e-06 & 4.27e-06 & 4.38e-06 & 4.28e-06 & 4.32e-06 \\
1.73e-05 & 1.71e-05 & 1.72e-05 & 1.87e-05 & 1.72e-05 & 1.75e-05 \\
