0.46 & 0.46 & 0.45 & 0.49 & 0.47 & 0.47 \\
0.47 & 0.48 & 0.48 & 0.54 & 0.53 & 0.50 \\
0.52 & 0.50 & 0.50 & 0.52 & 0.51 & 0.51 \\
0.52 & 0.53 & 0.52 & 0.51 & 0.52 & 0.52 \\
0.52 & 0.51 & 0.52 & 0.50 & 0.50 & 0.51 \\
0.51 & 0.51 & 0.51 & 0.52 & 0.52 & 0.51 \\
0.51 & 0.51 & 0.50 & 0.49 & 0.50 & 0.50 \\
0.54 & 0.53 & 0.53 & 0.51 & 0.53 & 0.53 \\
0.52 & 0.52 & 0.52 & 0.51 & 0.52 & 0.52 \\
0.54 & 0.55 & 0.53 & 0.52 & 0.54 & 0.53 \\
0.52 & 0.52 & 0.53 & 0.51 & 0.52 & 0.52 \\
0.51 & 0.53 & 0.50 & 0.51 & 0.51 & 0.51 \\
0.51 & 0.51 & 0.51 & 0.51 & 0.51 & 0.51 \\
0.48 & 0.50 & 0.49 & 0.50 & 0.50 & 0.49 \\
0.50 & 0.50 & 0.51 & 0.50 & 0.51 & 0.50 \\
0.53 & 0.53 & 0.52 & 0.48 & 0.52 & 0.51 \\
0.51 & 0.51 & 0.51 & 0.51 & 0.51 & 0.51 \\
